1,2.8,WSI3219904
2,2.8,TOB7336760
3,2.8,LDD7262109
4,3.1,NSR5538511
5,13.0,BDG6166982
6,2.5,YWD3967715
7,1.25,THF3239181
8,2.8,DKZ3204266
9,2.8,VSD5346273
10,3.1,UTI9677334
11,2.8,UIV0991172
12,2.8,BIM5756381
13,2.2,JVV5228001
14,1.0,TYV5505416
15,3.1,DVP9052273
16,2.8,RCN6097732
17,2.5,UPC0934127
18,2.8,UYS4444642
19,2.8,YOW7433640
20,1.5,JLS1333152
21,1.25,QGO0903208
22,1.5,IRK4760444
23,1.5,YZL7519880
24,2.2,XRS9245728
25,2.8,ADK8001607
26,2.0,ZLJ2429774
27,2.0,PFK3153908
28,1.0,OJF7533092
29,2.5,AYA2207372
30,2.8,SUW7443304
31,2.8,NQU2005152
32,2.8,PZE1892597
33,13.0,AYH8728597
34,13.0,XJD2966445
35,2.5,HVQ7237032
36,2.0,NHY3086874
37,2.8,MGU4398755
38,2.8,GEM5057485
39,2.8,FFA6207327
40,2.0,OLV7217348
41,2.0,NKM7840606
42,2.5,QZY0176136
43,2.8,LEV3798414
44,2.2,XCW7548977
45,1.0,SSH1766507
46,2.8,AWB9004088
47,13.0,SNO1901037
48,1.5,OCG0520265
49,2.0,PZY6450746
50,2.8,SVP4480098
51,2.5,CKM4226732
52,2.5,KYZ7726118
53,1.0,BJS5915448
54,1.0,ABE2129498
55,1.25,QYU5003410
56,2.8,WPS5352347
57,2.8,RDV6518451
58,2.8,WNH6218760
59,2.0,RRS9227725
60,2.8,LJZ4625728
61,2.8,VED8509398
62,2.8,IAQ7370002
63,2.5,KPT1084302
64,1.5,CSJ9595952
65,2.8,AJB4007132
66,2.8,IFJ1584058
67,1.0,IJN5312188
68,1.5,UZI9045597
69,2.5,DKI5609758
70,2.8,BJL0155721
71,3.1,YON4581505
72,2.0,JZP9177875
73,2.8,SSZ7103725
74,1.0,FPU0425557
75,2.5,MOS5853245
76,3.1,EWR2508893
77,2.8,FDO3407403
78,2.8,DLQ8625471
79,2.8,ZAG0725273
80,2.8,RJN3440849
81,2.8,BXR7588699
82,1.25,JZF0586381
83,1.5,AKJ5235405
84,2.8,YSK8555815
85,2.2,VAS7777913
86,2.8,OSB6924402
87,2.8,IKP1014708
88,1.5,NDS8480885
89,2.0,IEP5322365
90,1.0,LZU2500999
91,2.8,FTO5959048
92,3.1,PEO8978228
93,3.1,IWZ6784211
94,2.8,DOT0840926
95,2.8,YIC2205567
96,1.0,JYG0256462
97,1.0,FZS8692226
98,2.5,ZIK8298699
99,2.8,GBM5773955
100,2.8,PLP9237083
101,2.2,PSV9420885
102,2.5,OQE5431179
103,1.0,FRP9290882
104,2.5,VIG3313800
105,2.5,BMV9911239
106,2.8,BWS1548433
107,2.8,DPC4921911
108,3.1,FAD4262737
109,2.5,BOS5722123
110,2.8,BIP4596977
111,13.0,IZU3260044
112,2.0,IOI0658573
113,2.8,ELI0385232
114,2.5,SCB3162252
115,1.5,XRB7777819
116,1.0,VNX6112928
117,1.0,JBK7975831
118,1.0,UZV6669660
119,2.8,AST1565987
120,2.8,EPU9167801
121,2.5,UME6300154
122,1.25,IZL8111210
123,2.8,TYT3955033
124,2.8,WHI1664349
125,2.5,XSE8654212
126,2.2,TXL5895242
127,2.2,LJC9157282
128,1.0,HJW5583166
129,2.8,OIV5602818
130,3.1,DKX6181104
131,2.8,TGM8606494
132,1.25,UIC7940896
133,2.8,PZP9995637
134,2.8,HOA0727154
135,3.1,KTK8951799
136,3.1,UWV9537409
137,2.8,GYR0258541
138,2.8,SDQ5556853
139,2.8,UDF1325536
140,2.0,NQV7199789
141,1.5,INA0533953
142,2.8,AZT9656066
143,1.25,IUO2143413
144,2.8,UXT7394943
145,2.8,LJW9984906
146,2.8,TPR4294291
147,2.8,ULN8974546
148,3.1,QZK4342840
149,3.1,XWI7097584
150,2.0,MXM6404031
151,2.8,YJU8743734
152,1.5,SUH5952969
153,1.25,WOJ6728265
154,2.8,PAV5608102
155,1.25,CFO6913267
156,2.0,PAL2525981
157,1.0,RCF4544449
158,2.8,PVJ3943516
159,2.8,IRX8848859
160,1.25,MCD5475060
161,2.8,PFW8615887
162,2.8,ASW3119652
163,1.0,VQA8895237
164,1.5,NHL4953806
165,2.8,MAK0971449
166,2.5,JFR2402578
167,3.1,YYP0773445
168,1.0,LIV9253695
169,2.8,CCS6814108
170,2.5,KOC7962766
171,2.5,DOZ1453528
172,1.0,PFR7735501
173,2.5,RVF1714057
174,2.2,QJM2827051
175,2.8,HNU5135879
176,2.5,NUF0316968
177,1.0,MFM7697504
178,2.5,RRF5482950
179,2.8,RCS4635589
