WSI3219904,2019-01-01 01:33,ED51EWW52190,KO01,KO
TOB7336760,2019-01-01 01:37,AT19HLV57173,OO12,OO
LDD7262109,2019-01-01 02:50,AT19HLV57173,OO06,OO
NSR5538511,2019-01-01 05:23,DP11ENT03275,AO07,AO
BDG6166982,2019-01-01 06:03,LG64ARC91224,AO18,AO
YWD3967715,2019-01-01 06:09,QO68DIC93032,MR06,MR
THF3239181,2019-01-01 06:10,XV40HUQ04740,OO12,OO
DKZ3204266,2019-01-01 07:28,TV81MAQ99005,EG04,EG
VSD5346273,2019-01-01 08:17,CP56DAO45598,EG03,GF
UTI9677334,2019-01-01 08:52,DP11ENT03275,AO13,AO
UIV0991172,2019-01-01 09:35,NO82BAX82566,AO16,NE
BIM5756381,2019-01-01 09:53,QW79CHL42244,KO08,KO
JVV5228001,2019-01-01 10:33,JO50FSF60755,KO04,KO
TYV5505416,2019-01-01 10:41,WY00MLL63827,KO08,KO
DVP9052273,2019-01-01 12:23,PF04UCA93312,GF00,GF
RCN6097732,2019-01-01 12:45,IO09FGE68100,GF00,GF
UPC0934127,2019-01-01 16:48,CP56DAO45598,OO04,GF
UYS4444642,2019-01-01 16:52,QP02SYE47964,NE09,NE
YOW7433640,2019-01-01 17:18,QN23UHH39091,AO02,MR
JLS1333152,2019-01-01 17:41,CR31GMR97972,EG08,EG
QGO0903208,2019-01-01 18:02,TE24LCO18661,EG02,EG
IRK4760444,2019-01-01 19:39,MU06LHX94338,EG11,EG
YZL7519880,2019-01-01 23:13,MU06LHX94338,EG12,EG
XRS9245728,2019-01-01 23:35,HW75BKT77773,KO06,KO
ADK8001607,2019-01-02 00:22,EM54HQI58682,OO12,OO
ZLJ2429774,2019-01-02 00:39,CM15YCB60994,EG07,EG
PFK3153908,2019-01-02 01:25,CM15YCB60994,EG09,EG
OJF7533092,2019-01-02 02:21,FY47TUN40300,NE09,NE
AYA2207372,2019-01-02 02:42,DW44ZOO26361,EG02,EG
SUW7443304,2019-01-02 03:30,JE65QJK64802,GF00,GF
NQU2005152,2019-01-02 04:18,RR73DWB65452,AO18,AO
PZE1892597,2019-01-02 04:24,AT19HLV57173,OO00,OO
AYH8728597,2019-01-02 04:28,QO68DIC93032,GF00,MR
XJD2966445,2019-01-02 05:50,DO24BCW15511,GF00,KO
HVQ7237032,2019-01-02 06:12,KB55KTM48860,KO00,KO
NHY3086874,2019-01-02 07:11,YL27IFD65117,AO15,AO
MGU4398755,2019-01-02 07:14,EG95RTB75032,NE08,NE
GEM5057485,2019-01-02 07:28,AT19HLV57173,OO12,OO
FFA6207327,2019-01-02 07:42,QR03XCJ37459,OO07,OO
OLV7217348,2019-01-02 08:19,IZ65WAT29135,MR04,MR
NKM7840606,2019-01-02 09:06,MX39VOS38645,OO02,AO
QZY0176136,2019-01-02 10:20,QR03XCJ37459,OO01,OO
LEV3798414,2019-01-02 11:04,RK48BOP88344,OO04,OO
XCW7548977,2019-01-02 13:49,QO77TFN61853,KO07,KO
SSH1766507,2019-01-02 14:10,MQ65WJJ60020,NE15,KO
AWB9004088,2019-01-02 15:24,HT62RDI04611,AO04,AO
SNO1901037,2019-01-02 16:40,BM25PHF40639,AO15,AO
OCG0520265,2019-01-02 16:45,VX68BAR38623,NE02,NE
PZY6450746,2019-01-02 19:54,IZ65WAT29135,MR00,MR
SVP4480098,2019-01-02 19:54,RK48BOP88344,OO07,OO
CKM4226732,2019-01-02 21:13,BY85QGR11636,GF00,GF
KYZ7726118,2019-01-02 21:13,XV91YMP27722,MR05,MR
BJS5915448,2019-01-02 21:36,BZ76ROL87339,AO11,AO
